2021-04-22 14:56:23.382 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.382 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.398 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.398 [t1] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.413 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.413 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.429 [t2] DEBUG LiveLock - count: 11
2021-04-22 14:56:23.429 [t1] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.444 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.444 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.460 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.460 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.476 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.476 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.491 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.491 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.507 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.507 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.523 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.523 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.539 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.539 [t2] DEBUG LiveLock - count: 10
2021-04-22 14:56:23.555 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.555 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.571 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.571 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.587 [t1] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.587 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.603 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.603 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.619 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.619 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.635 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.635 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.650 [t1] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.650 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.666 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.666 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.682 [t1] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.682 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.698 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.698 [t2] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.713 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.713 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.728 [t1] DEBUG LiveLock - count: 8
2021-04-22 14:56:23.728 [t2] DEBUG LiveLock - count: 9
2021-04-22 14:56:23.744 [t1] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.744 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.760 [t1] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.760 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.776 [t2] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.776 [t1] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.792 [t1] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.792 [t2] DEBUG LiveLock - count: 7
2021-04-22 14:56:23.808 [t2] DEBUG LiveLock - count: 6
2021-04-22 14:56:23.808 [t1] DEBUG LiveLock - count: 6
